ORG_CODE_ID,ORG_NAME,TRANSFER_EVENT_ID,TRANSFER_EVENT_TYPE,TRANSFER_COURSE_NAME,MMU_EVENT_ID,MMU_EVENT_TYPE,MMU_COURSE_NAME
"O000040428","North Iowa Area Community College","ANT105","Lecture","Cultural Anthropology","SO 183","Lecture","Introduction to Cultural Anthropology"
"O000040428","North Iowa Area Community College","AGV928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV948","Lecture","Special Projects: Animal Health","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART183","Lecture","Photography II","AR 206","Lecture","Photography II"
"O000040428","North Iowa Area Community College","ART186","Lecture","Digital Photography","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART182","Lecture","Photography Lab","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART175","Lecture","Ceramics III","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART181","Lecture","Photography","AR 106","Lecture","Photography I (Introduction)"
"O000040428","North Iowa Area Community College","ART190","Lecture","History of Photography","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART280","Lecture","Color Photography","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART283","Lecture","Advanced Black and White Photography","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART220","Lecture","Ceramics IV","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART203","Lecture","Art History I","AR 212","Lecture","Art History I"
"O000040428","North Iowa Area Community College","ART204","Lecture","Art History II","AR 213","Lecture","Art History II"
"O000040428","North Iowa Area Community College","ART174","Lecture","Ceramics II","AR 261","Lecture","Ceramics II"
"O000040428","North Iowa Area Community College","ART143","Lecture","Painting","AR 141","Lecture","Painting I"
"O000040428","North Iowa Area Community College","ART144","Lecture","Painting II","AR 241","Lecture","Painting II"
"O000040428","North Iowa Area Community College","ART138","Lecture","Figure Drawing","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART133","Lecture","Drawing","AR 102","Lecture","Drawing I"
"O000040428","North Iowa Area Community College","ART134","Lecture","Drawing II","AR 202","Lecture","Drawing II"
"O000040428","North Iowa Area Community College","ART157","Lecture","Printmaking","AR 151","Lecture","Printmaking I"
"O000040428","North Iowa Area Community College","ART165","Lecture","Sculpture III","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART173","Lecture","Ceramics","AR 161","Lecture","Ceramics I"
"O000040428","North Iowa Area Community College","ART164","Lecture","Sculpture II","AR 271","Lecture","Sculpture II"
"O000040428","North Iowa Area Community College","ART158","Lecture","Printmaking II","AR 251","Lecture","Printmaking II"
"O000040428","North Iowa Area Community College","ART163","Lecture","Sculpture","AR 171","Lecture","Sculpture I"
"O000040428","North Iowa Area Community College","AGV175","Lecture","Small Animal and Cage Bird Medicine","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS530","Lecture","Swine Reproduction and Management","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS550","Lecture","Beef Breeding/Reproduction/Nutrition","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS441","Lecture","Livestock Housing and Equipment","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS350","Lecture","Artificial Insemination of Cattle","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS425","Lecture","Swine Systems Management","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS555","Lecture","Beef/Cow Calf Production","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS948","Lecture","Special Projects: Animal Science","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGT120","Lecture","Agricultural Biotechnology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS560","Lecture","Beef Industry and Feedlot Management","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS338","Lecture","Livestock Behavior and Welfare(Swine)","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS 551","Lecture","Beef Science Management","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS113","Lecture","Survey of the Animal Industry","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGP928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGP440","Lecture","Ag Applications of Digital Imagery","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGP924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS214","Lecture","Domestic Animal Physiology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS307","Lecture","Professional Horse Judging","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS319","Lecture","Animal Nutrition","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS306","Lecture","Advanced Livestock Judging/Selection","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS225","Lecture","Swine Science","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGS305","Lecture","Livestock Evaluation","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV158","Lecture","Veterinary Law and Ethics","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV161","Lecture","Animal Nursing I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV153","Lecture","Veterinary Reception and Administration","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV146","Lecture","Large Animal Care","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV152","Lecture","Veterinary Computer Applications","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV162","Lecture","Animal Nursing II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV169","Lecture","Veterinary Clinic Pathology III","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV171","Lecture","Large Animal and Poultry Medicine","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV168","Lecture","Veterinary Clinic Pathology II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV163","Lecture","Animal Nursing III","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV167","Lecture","Veterinary Clinic Pathology I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV144","Lecture","Fundamentals of Small Animal Nutrition","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV105","Lecture","Animal Behavior/Kennel Management","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV107","Lecture","Pharmacy Skills","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV101","Lecture","Veterinary Assisting","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGT924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGT928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV120","Lecture","Veterinary Medical Terminology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV142","Lecture","Math For Vet Tech","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV143","Lecture","Canine and Feline Nutrition","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV140","Lecture","Veterinary Pharmacology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV126","Lecture","Animal Anatomy and Physiology I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV127","Lecture","Animal Anatomy and Physiology II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART290","Lecture","Projects in Photography","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO124","Lecture","Botany for Nonmajors","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO147","Lecture","Genetics","BI 303","Lecture","Genetics"
"O000040428","North Iowa Area Community College","BIO113","Lecture","General Biology II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO110","Lecture","Basic Biological Concepts","BI 008","Lecture","Natural World Domain"
"O000040428","North Iowa Area Community College","BIO112","Lecture","General Biology I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO151","Lecture","Nutrition","CH 203","Lecture","Nutritional Biochemistry"
"O000040428","North Iowa Area Community College","BIO173","Lecture","Human Physiology","BI 274","Lecture","Human Physiology"
"O000040428","North Iowa Area Community College","BIO181","Lecture","Homeostatic Physiology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO168","Lecture","Human Anatomy","BI 273","Lecture","Human Anatomy"
"O000040428","North Iowa Area Community College","BIO154","Lecture","Human Biology","BI 123","Lecture","Biology Of Human Concern"
"O000040428","North Iowa Area Community College","BIO161","Lecture","Basic Anatomy and Physiology","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO104","Lecture","Introductory Biology w/lab","BI 008","Lecture","Natural World Domain"
"O000040428","North Iowa Area Community College","BCA265","Lecture","Project Management","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA290","Lecture","Web Design Principles","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA253","Lecture","Desktop Publishing Projects","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA221","Lecture","Integrated Computer Business Application","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA222","Lecture","Integrated Microcomputer Applications","OT","Lecture","Generic Course"
